"name","rank","position","location","commitCollege","year"
"BYRON EATON","17","PG","Dallas, TX Lincoln","Oklahoma State","2005"
"MAGNUM ROLLE","18","PF","Freeport, Bahamas,","Louisiana State","2005"
"CALVIN MILES","19","SF","Dallas, TX Skyline","Texas","2005"
"TASMIN MITCHELL","20","SF","Denham Springs, LA Denham Springs","Louisiana State","2005"
"J.P. PRINCE","21","PG","Memphis, TN White Station","Arizona","2005"
"MIKE MERCER","22","PG","Snellville, GA South Gwinnett","Georgia","2005"
"JOE KRABBENHOFT","23","SF","Sioux Falls, SD Roosevelt","Wisconsin","2005"
"COURTNEY FELLS","24","SG","Shannon, MS Shannon","NC State","2005"
"JOVAN ADAMS","25","PG","Houston, TX Gulf Shores","UNLV","2005"
"RODERICK FLEMINGS","26","SF","DeSoto, TX DeSoto","Oklahoma State","2005"
"FENDI ONOBUN","27","SF","Alief, TX","Arizona","2005"
"MICAH DOWNS","28","SF","Kirkland, WA Juanita","Kansas","2005"
"AMIR JOHNSON","29","PF","Los Angeles, CA Westchester","Louisville","2005"
"BRANDON COSTNER","30","SF","West Orange, NJ Seton Hall Prep","NC State","2005"
"DANNY GREEN","31","SG","Manhasset, NY St. Mary's","North Carolina","2005"
"LEWIS CLINCH","32","SG","Cordele, GA Crisp County","Georgia Tech","2005"
"ALONZO GEE","33","SG","Palm Beach Gardens, FL Dwyer","Alabama","2005"
"TYLER SMITH","34","SF","Pulaski, TN Giles County","Tennessee","2005"
"SHAWN TAGGART","35","PF","Richmond, VA","Iowa State","2005"
"DEVAN DOWNEY","36","PG","Chester, SC Chester","Cincinnati","2005"
"BRYAN HARVEY","37","SG","Compton, CA Dominguez","Louisville","2005"
"MARCUS GINYARD","38","PG","Alexandria, VA Bishop Ireton","North Carolina","2005"
"THEO DAVIS","39","PF","Toronto, ON","Gonzaga","2005"
"MARTYNAS POCIUS","40","SG","Plymouth, NH","Duke","2005"
"JEFF ADRIEN","41","PF","Brookline, MA","Connecticut","2005"
"KORVOTNEY BARBER","42","PF","Manchester, GA Manchester","Auburn","2005"
"GARY FLOWERS","43","PF","Dallas, TX Lincoln","Undecided","2005"
"WILSON CHANDLER","44","PF","Benton Harbor, MI Benton Harbor","DePaul","2005"
"UCHE ECHEFU","45","C","Rockville, MD Montrose Christian","Florida State","2005"
"ERIC DEVENDORF","46","SG","Bay City, MI","Syracuse","2005"
"JON BROCKMAN","47","PF","Snohomish, WA Snohomish","Washington","2005"
"RASHAD WOODS","48","SF","Westbury, TX","DePaul","2005"
"BEN ALLEN","49","C","Melbourne, Australia,","Indiana","2005"
"ARTEM WALLACE","50","PF","St. Petersburg, Russia,","Washington","2005"
"BOBBY FRASOR","51","SG","Chicago, IL Brother Rice","North Carolina","2005"
"VERNON GOODRIDGE","52","C","Philadelphia, PA","Mississippi St","2005"
"AUSTIN JOHNSON","53","SG","Amarillo, TX Palo Duro","Oklahoma","2005"
"KEVIN ROGERS","54","PF","Dallas, TX South Oak Cliff","Baylor","2005"
"CASAAN BREEDEN","55","SF","Bennettsville, SC Marlboro County","Florida State","2005"
"ANTONIO ANDERSON","56","SG","Lynn, MA","Memphis","2005"
